,state,meanIncome
0,Alabama,"73,434"
1,Alaska,"92,667"
2,Arizona,"84,036"
3,Arkansas,"70,743"
4,California,"113,687"
5,Colorado,"100,617"
6,Connecticut,"116,557"
7,Delaware,"89,598"
8,District of Columbia,"140,207"
9,Florida,"82,631"
10,Georgia,"87,220"
11,Hawaii,"100,088"
12,Idaho,"77,409"
13,Illinois,"97,627"
14,Indiana,"79,866"
15,Iowa,"80,283"
16,Kansas,"81,773"
17,Kentucky,"74,141"
18,Louisiana,"75,581"
19,Maine,"78,888"
20,Maryland,"114,000"
21,Massachusetts,"121,935"
22,Michigan,"82,645"
23,Minnesota,"97,960"
24,Mississippi,"67,076"
25,Missouri,"79,425"
26,Montana,"74,840"
27,Nebraska,"81,600"
28,Nevada,"86,085"
29,New Hampshire,"101,941"
30,New Jersey,"122,348"
31,New Mexico,"70,840"
32,New York,"112,517"
33,North Carolina,"80,933"
34,North Dakota,"83,386"
35,Ohio,"80,493"
36,Oklahoma,"76,110"
37,Oregon,"88,330"
38,Pennsylvania,"90,297"
39,Rhode Island,"94,791"
40,South Carolina,"77,528"
41,South Dakota,"74,697"
42,Tennessee,"79,487"
43,Texas,"89,653"
44,Utah,"94,265"
45,Vermont,"80,740"
46,Virginia,"104,075"
47,Washington,"107,023"
48,West Virginia,"68,027"
49,Wisconsin,"83,192"
50,Wyoming,"80,473"
